id,title,old_category,old_unit,new_category,new_unit,bucket,confidence,reason
"91f930be-0d43-4888-8330-a2ec540c3f29","Bladder Cancer & Urothelial Neoplasms: Types, Risks, Pathogenesis","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"c22b7ee9-6698-4359-bfe9-062d89fc548b","Pharmacology END SEM 3CAT: Drug Response, Bioavailability & Antifungals","Year 3 : Basic Pharmacology III","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology III"" maps directly to taxonomy"
"3894745c-5fbf-4ef5-bcd3-5219ee7553db","Pharmacology Wk 1 & 2","Year 3: Basic Pharmacology III","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology III"" maps directly to taxonomy"
"68641b6b-7c93-4e05-9bbc-b280891e9124","PATHOLOGY MCQs: CELL INJURY, DEATH, AND ADAPTATIONS","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"69cdc7a8-1b2a-441a-ab60-9956fd966818","INTRODUCTION TO NEOPLASIA MCQs","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","medium","""INTRODUCTION TO NEOPLASIA MCQs"" - foundational neoplasia nomenclature/concepts typically taught as part of General Pathology intro chapter rather than the specialized Oncopathology (molecular/cancer-biology) course; kept as General Pathology, borderline with Oncopathology"
"b61441a2-fce2-4e1e-b47a-501dc3947850","Oncopathology Hallmarks of Cancer MCQs","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Oncopathology","","high","Category is ""General Pathology"" but title (""Oncopathology Hallmarks of Cancer MCQs"") is Oncopathology - reclassified"
"0171a092-e53c-4985-8d96-dcdd57f4b54f","CNS Pathology: Neuron & Astrocyte Injury, Reactions & Neurodegeneration","Year 3: Neuropathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Clean label match: raw suffix ""Neuropathology"" maps directly to taxonomy"
"b144c6eb-9d22-48a0-b811-93c6ddda1786","General Pathology","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"eeb34078-9794-4228-90f0-44da0fb3fd58","Pathology of Acute Skin Inflammation: Urticaria & Eczema","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Dermatopathology","","high","Override #2: content is Acute Skin Inflammation (urticaria, eczema) - pure skin pathology mislabeled as Breast Pathology"
"e5570ce6-84b0-4141-b124-18f49aa946bd","💊 Weeks 6 & 7 Must-Know Notes","Year 3: Basic Pharmacology III","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology III"" maps directly to taxonomy"
"1459bd9f-cdf0-44ee-9e02-0b4e85caddb8","Breast Pathology: Developmental Disorders, Pain, Discharge, Masses","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","high","Clean label match: raw suffix ""Breast Pathology"" maps directly to taxonomy"
"ef90d847-3636-44bc-86be-5d26d798be91","🫀 MISSING TOPICS — ULTRA DEEP NOTES","Year 3: Cardiovascular System Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Clean label match: raw suffix ""Cardiovascular System Pathology"" maps directly to taxonomy"
"a9f7c42f-1831-49af-8ea1-29172e7a15b5","ONCOPATHOLOGY MCQ EXAMINATION HAllmarks of Cancer 1,2 &amp;3","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Oncopathology","","high","Category is ""General Pathology"" but title (""ONCOPATHOLOGY MCQ EXAMINATION Hallmarks of Cancer"") is Oncopathology - reclassified"
"fd646601-7f6e-4e59-a6e2-80269b0b6098","Herpesviridae: HSV-1, HSV-2, VZV Pathogenesis, Diagnosis, Treatment","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"f7b1ba96-9487-4124-95f4-3a8bf4938f93","Infectious Arthritis: Bacterial, TB & Viral Joint Infections","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Bone and Soft Tissue Pathology","","high","Clean label match: raw suffix ""Bone and Soft Tissue Pathology"" maps directly to taxonomy"
"3760740f-f17c-45e1-ab0e-4942df60d09c","Neurochemistry Test – Questions and Answers","Year 3: Endocrine and Metabolic Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","low","Content is Neurochemistry (MBMB2234, neurotransmitters e.g. ""runner's high"") - a Medical Biochemistry II topic not clearly covered by the given Year 3 taxonomy. No clean fit; filed under Chemical Pathology (biochemistry-adjacent) as closest analog. Recommend site owner review - may be a Year 2 Biochemistry course mislabeled as Year 3."
"d195783a-fb87-414c-82d6-8bf1ee361c4f","Herpesviruses: HSV-1, HSV-2, VZV, Symptoms, Diagnosis, Tx","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"e2f0610f-8534-4830-adcf-467f33b027b0","50 Multiple Choice Questions","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Title/category say Endocrine but content is ""Cellular Responses to Stress and Toxic Insults"" (Robbins Ch.1, cellular adaptations) - core General Pathology topic, reclassified"
"ee8c269e-f49e-4b62-a75b-a6c564f51f5a","LIPID AND LIPOPROTEIN DISORDERS MCQs","Year 3: Endocrine and Metabolic Pathology","","Year 3: Chemical Pathology","Clinical Chemistry","","high","Title/category say Endocrine but content is Lipid and Lipoprotein Disorders MCQs (VLDL/LDL/HDL/chylomicrons) - Clinical Chemistry topic, reclassified"
"8eed6952-b901-478b-9a3a-1cdd94d50fce","LECTURE 6: Pancreatic and Adrenal Hormones","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","high","Clean label match: raw suffix ""Endocrine and Metabolic Pathology"" maps directly to taxonomy"
"d433fddc-e909-4503-93f4-1a7c78f835e1","Haematopathology MCQs: Blood Disorders & Anemia Explained","Year 3 : Hematopathology","","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Clean label match: raw suffix ""Hematopathology"" maps directly to taxonomy"
"72488117-a7e1-4c85-9812-3f609eb13b8c","Chemical Pathology","Year 3: Hematopathology","","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Title says ""Chemical Pathology"" but content is entirely hematology case questions (anaemia, thalassemia, myeloma, coagulation - 57 heme keyword mentions vs 8 chem-path mentions) - title is a misnomer, category label is correct, kept as Hematopathology"
"ea4dfce6-0253-4be2-bb68-bfbf99a8782c","ADRENAL NEOPLASMS — Adenoma vs Carcinoma","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","high","Clean label match: raw suffix ""Endocrine and Metabolic Pathology"" maps directly to taxonomy"
"2c87572c-cac8-45f5-830e-71d080e5a623","Mycoses: Superficial, Cutaneous & Systemic Fungal Infections","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"74c5dab9-c70c-49b5-bccc-0df5eb13cd33","Medical Bacteriology MCQs: ETEC, Pseudomonas, Salmonella & More","Year 3: Bacteriology","","Year 3: Medical Microbiology and Parasitology","Bacteriology","","high","Clean label match: raw suffix ""Bacteriology"" maps directly to taxonomy"
"6df8a0a0-b0c6-4bf6-a9b6-14f0787cb40f","Mycotoxins & Aflatoxins: Health Risks, Diagnosis & Management","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"64c21cd3-4e90-4dec-b687-233bd73480c9","Cardiovascular Pathology MCQs: Rheumatic Fever, AAA, HTN, HFpEF","Year 3: Cardiovascular System Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Clean label match: raw suffix ""Cardiovascular System Pathology"" maps directly to taxonomy"
"25b2c9d9-fc25-48e3-bdb3-cb4add5af3b9","Fungal Genetics, HIV & Mycoses Epidemiology in Kenya","Year 3: Medical Mycology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Clean label match: raw suffix ""Medical Mycology"" maps directly to taxonomy"
"095a3290-926f-4693-ac8e-0f27cce893b5","Skin & Breast Pathology CAT: MKU Year 3 Medicine Exam","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","low","Multi-topic, near-even split: genuine joint ""MBPA 3536B Skin and Breast Pathology"" CAT exam. Breast-related keyword mentions (38) slightly outnumber skin-related mentions (34) - picked Breast Pathology by slight margin; could equally be filed as Dermatopathology, needs manual review."
"3cb38170-ccfc-4058-a170-4dd9d857b469","Glomerular Diseases: Classification, Histology & Pathology","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"076c3be4-52e9-4c52-ba8c-cfe55d9d4491","Non-Hodgkin Lymphoma: Classification, Symptoms, Diagnosis, and Treatment","Year 3: Hematopathology","","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Clean label match: raw suffix ""Hematopathology"" maps directly to taxonomy"
"c9c32832-ac7d-410d-86a2-d8a577f1b637","Genetics & Disease: Muscular Dystrophy, CF, Marfan, Diabetes, Cancer","Year 3: Genetic Disorders","","Year 3: General & Systemic Pathology","Genetic Disorders","","high","Clean label match: raw suffix ""Genetic Disorders"" maps directly to taxonomy"
"63fa1a73-2106-4b1c-ac30-d02e1379103c","general Pathology Q&amp;A","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"c69f0853-3226-4387-b3c7-9ec617327671","Cytopathology vs Histopathology CAT: Definitions & Lab Basics","Year 3: Histopathology & Cytopathology:","","Year 3: General & Systemic Pathology","Histopathology & Cytopathology","","high","Clean label match: raw suffix ""Histopathology & Cytopathology:"" maps directly to taxonomy"
"74d6acd4-c449-40af-83c4-25bae2ae556b","Endocrine LAqs and SAqs","Year 3: Basic Pharmacology III","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","medium","Category is ""Basic Pharmacology III"" but content is ""Biochemical Endocrinology"" past-paper notes (endocrine disruptors, hormone therapy) with no pharmacology drug-mechanism focus - reclassified to Endocrine and Metabolic Pathology as closest topical fit"
"b4d538f1-3017-4c63-97d9-d288e9f133dd","GASTROINTESTINAL PATHOLOGY (Part 3)","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Gastrointestinal Pathology","","high","Category is ""General Pathology"" but title/content (""GASTROINTESTINAL PATHOLOGY Part 3"") is GI Pathology - reclassified"
"3f48f7eb-e5db-4d23-bc47-8abfd70c9e28","Respiratory Pathology 1b","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Respiratory System Pathology","","high","Category is ""General Pathology"" but title (""Respiratory Pathology 1b"") is Respiratory System Pathology - reclassified"
"2ca687e8-eabe-4091-9462-0f92765f8ae2","End Sem Cat: Respiratory Pathology: Emphysema, ARDS, Pneumoconiosis","Year 3: Respiratory System Pathology","","Year 3: General & Systemic Pathology","Respiratory System Pathology","","high","Clean label match: raw suffix ""Respiratory System Pathology"" maps directly to taxonomy"
"5647759d-d436-479e-9ae4-7e8bedcfab30","Types of Mutations in ARBHN (Amino Acid Replacement Based on Hemoglobin to Product Form)","Year 3: Hematopathology","","Year 3: General & Systemic Pathology","Genetic Disorders","","high","Category is ""Hematopathology"" but content is entirely mutation types/DNA repair/transcription/gene-transfer molecular genetics (sickle cell/thalassemia used only as illustrative examples) - Genetic Disorders, reclassified"
"86d65f5d-3d3a-43dc-8f33-ff834798534f","Heart Disease: Must Knows","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","high","Category is ""General Pathology"" but title (""Heart Disease: Must Knows"") is Cardiovascular System Pathology - reclassified"
"b3dd28be-c71f-4074-b27a-ca5ba9ba123b","Liver Histology, Physiology and Pathology","Year 3: Hematopathology","","Year 3: General & Systemic Pathology","Gastrointestinal Pathology","","high","Category is ""Hematopathology"" but content (""Liver Histology, Physiology and Pathology"") is GI/hepatobiliary - reclassified (see also Hematopathology contamination notes)"
"7e0f34a5-52ad-4002-b2ed-86ea0491a371","Genetic Disorders CAT: Key Terms & Inheritance Patterns Explained","Year 3: Genetic Disorders","","Year 3: General & Systemic Pathology","Genetic Disorders","","high","Clean label match: raw suffix ""Genetic Disorders"" maps directly to taxonomy"
"f3469fff-058a-4f2e-81ca-514c7f56c0a1","Breast Cancer Guide: Epidemiology, Risk Factors & Classification","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Breast Pathology","","high","Clean label match: raw suffix ""Breast Pathology"" maps directly to taxonomy"
"187bf467-6ef7-471f-8149-7b6382947e24","Penile & Testicular Pathologies: Hypospadias, Tumors, Torsion – Male Reproductiv","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"d333712a-dc6c-4e69-a939-8e404cb506a2","MDS, Myelofibrosis & HLH: Key Blood Disorders Explained","Year 3: Blood Transfusion","","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Category is ""Blood Transfusion"" but content (""MDS, Myelofibrosis & HLH"") is Hematopathology (myeloid neoplasms), not transfusion practice - reclassified"
"d170f990-cb11-424f-accf-9023014f1ace","Medical Biochemistry II (MBMB 2200) -2","Year 3: Basic Pharmacology III","","Year 3: Chemical Pathology","Chemical Pathology","","low","Category is ""Basic Pharmacology III"" but content is a ""Medical Biochemistry II (MBMB 2200)"" exam paper on integrated metabolism - not pharmacology at all and no clean taxonomy fit. Filed under Chemical Pathology (biochemistry-adjacent) as closest analog; recommend review, may be a Year 2 Biochemistry course mislabeled as Year 3."
"14775036-cb2c-4e84-bdb7-b6a520583f11","Medical Pathology Final Revision: Chemical, Hema, Systemic","Year 3: PATHOLOGY FINAL","","Year 3: General & Systemic Pathology","General Pathology","","low","Extremely multi-topic: full-course final-revision compilation spanning Chemical Pathology (1.7k), Haematology & Blood Transfusion (1.4k), Systemic Pathology Paper1/2 (3.6k+6.0k = largest single course share), Immunopathology (1.3k), Practical Exam/Clinical Techniques (1.6k+0.2k), Basic Pharmacology (1.9k). Picked GSP/General Pathology as largest course-unit share (~54%) but genuinely needs manual splitting into ~6-8 separate notes by site owner."
"33fb0af9-68e8-46d8-a2bf-14a6d661d667","Oncology Intro: Cancer Biology, Genetics & Immuno-Oncology","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"31d07a12-1d26-49e0-8804-3474f6aed1e0","Introduction to Oncology: History, Genetics & Immuno-oncology","Year 3: Basic Pharmacology II","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology II"" maps directly to taxonomy"
"7366b6a5-d0a0-4f6a-89e7-69b5dcdcc15f","SummaryThis document provides a comprehensive overview of male reproductive system pathologies, covering congenital malformations, inflammatory conditions, and neoplasms of the penis, testis, epididymis, and prostate. It details conditions such as hypospadias, squamous cell carcinoma of the penis, cryptorchidism, testicular torsion, germ cell tumors, prostatitis, benign prostatic hyperplasia (BPH), and prostate carcinoma. Key risk factors, pathogenesis, clinical features, and management strategies are discussed for each pathology.","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
"bd31016e-acfc-4759-bc4a-fc6d1e928eda","Chemotherapy Drugs: Cell Cycle Phase & Mechanism Explained","Year 3: Basic Pharmacology III","","Year 3: Basic Pharmacology","Basic Pharmacology","","high","Clean label match: raw suffix ""Basic Pharmacology III"" maps directly to taxonomy"
"e2eaaf23-35c7-41fe-b8a1-6d9d2e8c8d40","Renal, Liver, Cardiac & Adrenal Function Tests for Year 3","Year 3: Sunday","","Year 3: Hematology and Blood Transfusion","Hematopathology","","low","Multi-topic: ""MONDAY FULL REVISION PACK"" = Chemical Pathology/Clinical Chemistry (renal/liver/cardiac/adrenal/thyroid/DM/acid-base/lipid function tests, ~12.1k chars, 44%) + Haematology & Blood Transfusion (~15.2k chars, 56%, itself split: anaemia/WBC/platelet/coag/hematopathology-flavored ~8.8k vs blood-products/transfusion-reactions ~5.7k). Picked Hematopathology by volume but title (""Renal, Liver, Cardiac & Adrenal Function Tests"") suggests Chemical Pathology/Clinical Chemistry is the intended framing - conflicting signals, needs manual review/split."
"1ce71419-51e8-4bd9-8079-9923c892a19c","ADRENAL NEOPLASMS — Adenoma vs Carcinoma","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","high","Clean label match: raw suffix ""Endocrine and Metabolic Pathology"" maps directly to taxonomy"
"d1c0a31b-6348-4db1-a22e-3a5f329f8a96","Human Pathology","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"550e3408-a708-4f85-9f3e-4d765f5ff070","Medical Mycology Fundamentals: Fungi, Antifungal Drugs & More","Year 3: Must Know Virology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","high","Category says ""Must Know Virology"" but content is 100% Mycology (0 viral mentions, 61 fungal mentions) - reclassified"
"c44bf6c3-130e-4f6c-9126-84513ba24eb4","ADRENAL NEOPLASMS — Adenoma vs Carcinoma","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","high","Clean label match: raw suffix ""Endocrine and Metabolic Pathology"" maps directly to taxonomy"
"f92ded78-f5b7-4ec7-ab7d-69a9590611ef","Tuesday","Year 3: Tuesday","","Year 3: General & Systemic Pathology","General Pathology","","medium","Multi-topic, picked dominant: General Pathology. Doc = ""TUESDAY PART 1: GENERAL PATHOLOGY"" (cell injury/inflammation/wound healing/neoplasia/amyloidosis/forensic/histo-cytology technique, ~15.4k chars) + ""PART 2: FEMALE GENITAL SYSTEM PATHOLOGY"" (cervical Ca/genital ulcers/endometriosis/fibroids/ovarian neoplasms/vulval path, ~7.9k chars). General Pathology section is ~2x larger by volume."
"b6c8555f-e9db-4f71-8814-cd6f555a8513","Cellular Injury and Adaptation MCQs","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"028b0cbc-30f6-42f0-9076-5d31f7738227","MBCHB Virology & Mycology: Interferons, Vaccines, Fungi, Mycetoma","Year 3: Must Know Virology","","Year 3: Medical Microbiology and Parasitology","Medical Mycology","","medium","Multi-topic: mixed viral (interferons/vaccines/influenza/rabies/HIV, ~5.1k chars) and fungal (true-vs-opportunistic/mycetoma/dermatophytosis/lab diagnosis/tinea/antifungals, ~7.9k chars) content, plus one general/onco topic (normal vs tumor cell, ~1.2k). Fungal content dominant by volume."
"594d8cce-de88-4f98-be4f-d163232cc369","Cytomegalovirus (CMV) Guide: Pathogenesis, Dx & Treatment","Year 3: Must Know Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Content confirmed Medical Virology (Cytomegalovirus pathogenesis/diagnosis/treatment)"
"4a1d5d14-b428-4586-93c5-133a058c07ee","General Pathology I","Year 3: General Pathology","","Year 3: General & Systemic Pathology","General Pathology","","high","Clean label match: raw suffix ""General Pathology"" maps directly to taxonomy"
"698a6fca-b506-4ccb-b40d-cb209da7a376","Tuesday Part 2","Year 3: Tuesday","","Year 3: General & Systemic Pathology","Gastrointestinal Pathology","","medium","Multi-topic, picked dominant: GI Pathology. Doc = ""TUESDAY PART 3: CARDIOVASCULAR (4.0k) / RESPIRATORY (4.8k) / GI-HEPATOBILIARY (5.9k) PATHOLOGY"" - three roughly-equal thirds, GI/Hepatobiliary slightly largest by content volume."
"af99ae0f-c9c1-4123-8adc-7be733b13a52","Adenovirus & Parvovirus B19: Non-Enveloped DNA Virus Guide","Year 3: Medical Virology","","Year 3: Medical Microbiology and Parasitology","Medical Virology","","high","Clean label match: raw suffix ""Medical Virology"" maps directly to taxonomy"
"024030f6-f8fb-4529-ac28-0a4e59ae6b01","Life Cycles of Medically Important Trematodes (Flukes)","Year 3: General Pathology","","Year 3: Medical Microbiology and Parasitology","Parasitology","","high","Category is ""General Pathology"" but title/content (""Life Cycles of Medically Important Trematodes (Flukes)"") is Parasitology - reclassified"
"958891be-f438-4ac7-91d4-6bdde759a53f","Oncopathology & Histopathology Answers","Year 3: General Pathology","","Year 3: General & Systemic Pathology","Histopathology & Cytopathology","","medium","Multi-topic: Q1-9 Oncopathology (benign/malignant tumours, hallmarks, oncoviruses, tumour markers, ~1.9k chars) + Q10-31 Histopathology & Cytopathology (cytology, histopath, tissue fixation, FNA, decalcification, tissue processing, ~7.7k chars). Histopathology & Cytopathology dominant by volume (~80%)."
"72b76c33-b5f6-4437-a582-54fe706c772d","Clinical Endocrinology Cases: Pituitary Tumour, PCOS, Type 1 Diabetes, and HHS","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","high","Content confirmed: Pituitary Tumour, PCOS, Type 1 Diabetes, HHS clinical cases - matches Endocrine and Metabolic Pathology"
"aca1d504-5556-4456-949f-0e1de4785028","Chemical Pathology MCQs: Diabetes, Renal & Liver Disease","Year 3: Chemical Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","high","Clean label match: raw suffix ""Chemical Pathology"" maps directly to taxonomy"
"63983f31-3cd1-44cc-a518-643d9dfb8d6b","Acne Vulgaris & Rosacea: Pathology, Symptoms, & Treatment","Year 3: Breast Pathology","","Year 3: General & Systemic Pathology","Dermatopathology","","high","Override #2: content is Acne Vulgaris & Rosacea (disorders of epidermal appendages) - pure skin pathology mislabeled as Breast Pathology"
"c3585606-cb89-4afc-8447-fbc836ec0829","Quality Control in Clinical Chemistry","Year 3: Chemical Pathology","","Year 3: Chemical Pathology","Chemical Pathology","","high","Clean label match: raw suffix ""Chemical Pathology"" maps directly to taxonomy"
"5e57bab6-11dc-4a14-8355-f748d8bd16ed","CNS Trauma Neuropathology: Fractures, Concussion & CTE","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Category is ""Bone and Soft Tissue Pathology"" but title/content (""CNS Trauma Neuropathology: Fractures, Concussion & CTE"") is clearly CNS/Neuropathology - reclassified (systemic mislabeling found across this category)"
"8d6d0fd0-fd97-4e51-a3af-d9b7d3df6788","CNS Malformations: NTDs, Spina Bifida & Anencephaly Guide","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Category is ""Bone and Soft Tissue Pathology"" but title/content (""CNS Malformations: NTDs, Spina Bifida & Anencephaly Guide"") is clearly CNS/Neuropathology - reclassified (systemic mislabeling found across this category)"
"847aa557-0b8b-4082-a06a-c934b5331f42","Clinical Enzymes: Functions and Applications","Year 3: General Pathology","","Year 3: Chemical Pathology","Clinical Chemistry","","high","Category is ""General Pathology"" but title (""Clinical Enzymes: Functions and Applications"") is Clinical Chemistry - reclassified"
"15738b26-7ee3-418f-8f67-200ea52cb681","Neurodegenerative Prion Diseases: CJD, Pathology & Rapid Dementia","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Category is ""Bone and Soft Tissue Pathology"" but title/content (""Neurodegenerative Prion Diseases: CJD, Pathology & Rapid Dementia"") is clearly CNS/Neuropathology - reclassified (systemic mislabeling found across this category)"
"1221cab3-aed5-4e10-b285-be7681d9596f","Haematology MCQs END YEAR 2025: Medical Student Exam Prep & Answers","Year 3: Exam Hematology","Exam Hematology","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Content confirmed: Haematology MCQs (general anaemia/exam content)"
"2b0ef5f6-f740-4e40-947a-7e37d575945d","Endocrine Choice of Diagrams","Year 3: Endocrine and Metabolic Pathology","","Year 3: General & Systemic Pathology","Endocrine and Metabolic Pathology","","low","Note has essentially no real teaching content - just meta-instructions about diagrams to draw for Biochemical Endocrinology exam prep, actual diagrams not included. Borderline placeholder; kept under Endocrine and Metabolic Pathology since on-topic, but content is very thin."
"3959b2df-052f-48d6-a788-28971fbdd2f8","Cerebral Edema, Hydrocephalus, Raised ICP & Brain Herniation Pathology","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Category is ""Bone and Soft Tissue Pathology"" but title/content (""Cerebral Edema, Hydrocephalus, Raised ICP & Brain Herniation Pathology"") is clearly CNS/Neuropathology - reclassified (systemic mislabeling found across this category)"
"65e06c63-1c47-4dc8-8a5f-0faf30b2e8e6","General & Systemic Pathology Exam: MBChB Year 3 Questions","Year 3: EXAM: General & Systemic Pathology","EXAM: General & Systemic Pathology","Year 3: Hematology and Blood Transfusion","Hematopathology","","low","Multi-topic: two full exam papers concatenated - ""General & Systemic Pathology Exam"" (broad multi-system SAQ/essay paper: cervical Ca/ovarian/diabetes/oedema/glomerular/atherosclerosis/cirrhosis/carcinogens/genetics/fracture-healing/diarrhoea/RHD/vasculitis/pre-eclampsia, ~3.2k chars, no single dominant subunit) + ""Haematology Exam"" (leukemia/anaemia/myeloma/CML/blood-products, ~4.5k chars, Hematopathology-flavored). Haematology section is larger by volume; picked Hematopathology but title says ""General & Systemic Pathology Exam"" - conflicting signals, needs manual split."
"b3645b00-b674-4194-9a4b-e2e4303354d5","Lymphoma Overview and Classification","Year 3: Hematopathology","","Year 3: Hematology and Blood Transfusion","Hematopathology","","high","Clean label match: raw suffix ""Hematopathology"" maps directly to taxonomy"
"4f635594-1cbc-4007-a416-03df0f04708e","Bone & Cartilage Tumors: Osteoma to Osteosarcoma Pathology","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Bone and Soft Tissue Pathology","","high","Clean label match: raw suffix ""Bone and Soft Tissue Pathology"" maps directly to taxonomy"
"64058384-a7f1-412a-b6f7-64dbbb8be870","Cerebrovascular Disease: Stroke, Ischemia & Hemorrhage Explained","Year 3: Bone and Soft Tissue Pathology","","Year 3: General & Systemic Pathology","Neuropathology","","high","Category is ""Bone and Soft Tissue Pathology"" but title/content (""Cerebrovascular Disease: Stroke, Ischemia & Hemorrhage Explained"") is clearly CNS/Neuropathology - reclassified (systemic mislabeling found across this category)"
"8758aae2-1de4-4fee-bd39-7e154705a14f","Cardiovascular & Respiratory Pathology: Atherosclerosis, RHD & MI Review","Year 3: Resp & Cardio Revision","Resp & Cardio Revision","Year 3: General & Systemic Pathology","Cardiovascular System Pathology","","medium","Multi-topic, near-even split: Cardiovascular Pathology (~4.1k chars) vs Respiratory Pathology (~4.0k chars). Cardiovascular slightly larger and leads the title."
"04e04ba7-73cc-46dc-93f0-96f0b98d7ac7","Quick Guide: Male Reproductive System Pathology, Testis, Penis","Year 3: Male Reproductive and Urinary System Pathology","","Year 3: General & Systemic Pathology","Male Reproductive and Urinary System Pathology","","high","Clean label match: raw suffix ""Male Reproductive and Urinary System Pathology"" maps directly to taxonomy"
